 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
   98  sysHZComb1098                          0.1099   +/-   0.7347        :N:M:D
   99  sysHZComb1099                          1.7839   +/-   0.6818        :N:M:D
  100  sysHZComb1100                          0.2538   +/-   0.6856        :N:M:D
  101  sysHZComb1101                         -3.2123   +/-   0.7714        :N:M:D
  102  sysHZComb1102                         -2.0875   +/-   0.9017        :N:M:D
  103  sysHZComb1103                          3.8270   +/-   0.7895        :N:M:D
  104  sysHZComb1104                         -1.2868   +/-   0.7905        :N:M:D
  105  sysHZComb1105                          2.9218   +/-   0.6918        :N:M:D
  106  sysHZComb1106                          1.0372   +/-   0.7699        :N:M:D
  107  sysHZComb1107                          1.7688   +/-   0.7409        :N:M:D
  108  sysHZComb1108                          2.8535   +/-   0.6748        :N:M:D
  109  sysHZComb1109                          0.5586   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.0252   +/-   0.6990        :N:M:D
  111  sysHZComb1111                         -3.1069   +/-   0.5476        :N:M:D
  112  sysHZComb1112                          0.8092   +/-   0.9903        :N:M:D
  113  sysHZComb1113                          1.6205   +/-   0.8407        :N:M:D
  114  sysHZComb1114                          0.5186   +/-   0.8047        :N:M:D
  115  sysHZComb1115                          3.7996   +/-   0.7543        :N:M:D
  116  sysHZComb1116                          0.0628   +/-   0.7699        :N:M:D
  117  sysHZComb1117                         -0.2339   +/-   0.8223        :N:M:D
  118  sysHZComb1118                         -0.2818   +/-   0.9965        :N:M:D
  119  sysHZComb1119                         -0.0047   +/-   0.9745        :N:M:D
  120  sysHZComb1120                          1.4610   +/-   0.8552        :N:M:D
  121  sysHZComb1121                          0.4282   +/-   0.9898        :N:M:D
  122  sysHZComb1122                         -0.2132   +/-   0.9330        :N:M:D
  123  sysHZComb1123                         -0.7783   +/-   0.9288        :N:M:D
  124  sysHZComb1124                         -1.1113   +/-   0.8617        :N:M:D
  125  sysHZComb1125                          0.8632   +/-   0.8728        :N:M:D
  126  sysHZComb1126                         -0.0347   +/-   0.9142        :N:M:D
  127  sysHZComb1127                          1.3070   +/-   0.9231        :N:M:D
  128  sysHZComb1128                         -0.6392   +/-   0.9552        :N:M:D
  129  sysHZComb1129                          0.7155   +/-   0.8577        :N:M:D
  130  sysHZComb1130                         -1.0773   +/-   0.8053        :N:M:D
  131  sysHZComb1131                          2.2270   +/-   0.7904        :N:M:D
  132  sysHZComb1132                         -2.4165   +/-   0.7897        :N:M:D
  133  sysHZComb1133                          0.8464   +/-   0.8205        :N:M:D
  134  sysHZComb1134                          1.3267   +/-   0.9785        :N:M:D
  135  sysHZComb1135                         -3.0371   +/-   0.8185        :N:M:D
