#nx=3 [0.00000000000E+00,2.50000000000E+01] [2.50000000000E+01,5.00000000000E+01] [5.00000000000E+01,7.50000000000E+01] [7.50000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.25000000000E+02] [1.25000000000E+02,1.50000000000E+02] [1.50000000000E+02,1.75000000000E+02] [1.75000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.50000000000E+02] [2.50000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,6.00000000000E+02] [6.00000000000E+02,8.00000000000E+02] 
../LO/LOjob/003/00/WpJ.WpJ_LO.LO.ptw.s300.tab.gz 0.00000000000E+00 8.30147072111E-03 8.33184525422E-03 8.33599475607E-03 8.34372395896E-03 8.33127783717E-03 8.39151978982E-03 8.33399852918E-03 8.32544325671E-03 8.32759036928E-03 8.32265727949E-03 8.32454046944E-03 8.33609355537E-03 8.39996470808E-03 8.32190384728E-03 8.33259820657E-03
../LO/LOjob/049/00/WpJ.WpJ_LO.LO.ptw.s4900.tab.gz 0.00000000000E+00 8.33262542530E-03 8.33516568224E-03 8.33310028225E-03 8.32079166794E-03 8.33952397288E-03 8.41851775077E-03 8.31264291486E-03 8.34708632438E-03 8.33257471477E-03 8.33241220856E-03 8.31928115458E-03 8.34603362314E-03 8.40347507600E-03 8.33043545920E-03 8.33205752404E-03
../LO/LOjob/045/00/WpJ.WpJ_LO.LO.ptw.s4500.tab.gz 0.00000000000E+00 8.35343139421E-03 8.32513649519E-03 8.33812629348E-03 8.33968735422E-03 8.32943552216E-03 8.38483468365E-03 8.32063709283E-03 8.33295390075E-03 8.33847904139E-03 8.33508264731E-03 8.33379772936E-03 8.32625029034E-03 8.40091264701E-03 8.33779272652E-03 8.33052103048E-03
../LO/LOjob/087/00/WpJ.WpJ_LO.LO.ptw.s8700.tab.gz 0.00000000000E+00 8.36804879183E-03 8.33800671893E-03 8.33506791561E-03 8.32084948505E-03 8.33666048621E-03 8.40387479497E-03 8.34618593371E-03 8.34001899883E-03 8.35231022802E-03 8.33815563552E-03 8.33665113659E-03 8.32535687447E-03 8.39718125265E-03 8.35076836133E-03 8.33408631833E-03
../LO/LOjob/083/00/WpJ.WpJ_LO.LO.ptw.s8300.tab.gz 0.00000000000E+00 8.34146729909E-03 8.33935591905E-03 8.33807155042E-03 8.33450541859E-03 8.32058190395E-03 8.39403762730E-03 8.34028833848E-03 8.33613832437E-03 8.32083410681E-03 8.32308757318E-03 8.34038156998E-03 8.34340177420E-03 8.41629490147E-03 8.34257657349E-03 8.34277886305E-03
../LO/LOjob/037/00/WpJ.WpJ_LO.LO.ptw.s3700.tab.gz 0.00000000000E+00 8.25451127998E-03 8.33633395104E-03 8.31931068622E-03 8.32351731195E-03 8.35325468173E-03 8.39054798960E-03 8.32692812412E-03 8.33256432449E-03 8.33675435943E-03 8.33072787581E-03 8.33935994593E-03 8.33370069989E-03 8.40091264701E-03 8.32980614249E-03 8.32904065433E-03
../LO/LOjob/108/00/WpJ.WpJ_LO.LO.ptw.s10800.tab.gz 0.00000000000E+00 8.25451127998E-03 8.33633395104E-03 8.31931068622E-03 8.32351731195E-03 8.35325468173E-03 8.39054798960E-03 8.32692812412E-03 8.33256432449E-03 8.33675435943E-03 8.33072787581E-03 8.33935994593E-03 8.33370069989E-03 8.41629490147E-03 8.32980614249E-03 8.32904065433E-03
../LO/LOjob/033/00/WpJ.WpJ_LO.LO.ptw.s3300.tab.gz 0.00000000000E+00 8.33262542530E-03 8.33516568224E-03 8.33310028225E-03 8.32079166794E-03 8.33952397288E-03 8.38483468365E-03 8.31264291486E-03 8.34708632438E-03 8.33257471477E-03 8.33241220856E-03 8.31928115458E-03 8.34603362314E-03 8.40347507600E-03 8.33043545920E-03 8.33205752404E-03
../LO/LOjob/075/00/WpJ.WpJ_LO.LO.ptw.s7500.tab.gz 0.00000000000E+00 8.30147072111E-03 8.33184525422E-03 8.33599475607E-03 8.34372395896E-03 8.33127783717E-03 8.41851775077E-03 8.33399852918E-03 8.32544325671E-03 8.32759036928E-03 8.32265727949E-03 8.32454046944E-03 8.33609355537E-03 8.39996470808E-03 8.32190384728E-03 8.33259820657E-03
../LO/LOjob/071/00/WpJ.WpJ_LO.LO.ptw.s7100.tab.gz 0.00000000000E+00 8.27982324333E-03 8.33231938108E-03 8.33295007189E-03 8.34980751683E-03 8.33061138932E-03 8.39151978982E-03 8.33513055888E-03 8.33135311202E-03 8.33354175431E-03 8.33462954625E-03 8.32895130848E-03 8.30936936189E-03 8.40700361368E-03 8.33124130453E-03 8.33977661902E-03
../LO/LOjob/021/00/WpJ.WpJ_LO.LO.ptw.s2100.tab.gz 0.00000000000E+00 8.30251030983E-03 8.33093562672E-03 8.34270215747E-03 8.33519307055E-03 8.34937459905E-03 8.41458817717E-03 8.34393289834E-03 8.33778508734E-03 8.32160128837E-03 8.32625200460E-03 8.32372425193E-03 8.32066329650E-03 8.39841756863E-03 8.31589440579E-03 8.33138792525E-03
../LO/LOjob/063/00/WpJ.WpJ_LO.LO.ptw.s6300.tab.gz 0.00000000000E+00 8.35696323743E-03 8.33318135501E-03 8.33181780021E-03 8.33735422623E-03 8.32514231047E-03 8.39392342389E-03 8.33096915102E-03 8.33297156502E-03 8.33503948080E-03 8.34076672803E-03 8.33580193787E-03 8.34596984841E-03 8.39834251093E-03 8.33710325368E-03 8.32130868445E-03
../LO/LOjob/051/00/WpJ.WpJ_LO.LO.ptw.s5100.tab.gz 0.00000000000E+00 8.34725885919E-03 8.32518683457E-03 8.33380156574E-03 8.32665909327E-03 8.33562990841E-03 8.42127520222E-03 8.35437323925E-03 8.33436573209E-03 8.34121993818E-03 8.32432926313E-03 8.34236959155E-03 8.33569265454E-03 8.38824118406E-03 8.32512491046E-03 8.34221248413E-03
../LO/LOjob/114/00/WpJ.WpJ_LO.LO.ptw.s11400.tab.gz 0.00000000000E+00 8.36859704627E-03 8.33262952199E-03 8.33394692357E-03 8.34889905441E-03 8.32627913920E-03 8.40027569816E-03 8.32951061641E-03 8.33137317563E-03 8.34021051920E-03 8.31763589814E-03 8.34005144628E-03 8.34089966033E-03 8.40881996169E-03 8.33125495303E-03 8.33478935131E-03
../LO/LOjob/110/00/WpJ.WpJ_LO.LO.ptw.s11000.tab.gz 0.00000000000E+00 8.36418749671E-03 8.32926314029E-03 8.33536338079E-03 8.32471156661E-03 8.32728532909E-03 8.39611946346E-03 8.31938949044E-03 8.33173538773E-03 8.33436604018E-03 8.32910353506E-03 8.33379586455E-03 8.34188034981E-03 8.41845822084E-03 8.32972484628E-03 8.33328876163E-03
../LO/LOjob/058/00/WpJ.WpJ_LO.LO.ptw.s5800.tab.gz 0.00000000000E+00 8.35962794987E-03 8.33884457643E-03 8.33789296794E-03 8.33356730345E-03 8.32944319285E-03 8.38623925240E-03 8.32901694224E-03 8.33345985410E-03 8.34485788290E-03 8.33242305026E-03 8.31263791281E-03 8.33169318936E-03 8.40279894010E-03 8.33190837262E-03 8.32868237664E-03
../LO/LOjob/008/00/WpJ.WpJ_LO.LO.ptw.s800.tab.gz 0.00000000000E+00 8.32819790285E-03 8.33854774989E-03 8.34784030392E-03 8.34478476531E-03 8.31811279510E-03 8.41130548548E-03 8.34238634643E-03 8.33483362581E-03 8.32959514017E-03 8.33869980386E-03 8.33208480355E-03 8.33302170343E-03 8.40148963150E-03 8.34148641597E-03 8.33783946728E-03
../LO/LOjob/046/00/WpJ.WpJ_LO.LO.ptw.s4600.tab.gz 0.00000000000E+00 8.34965708859E-03 8.32753721378E-03 8.32849871780E-03 8.33436959183E-03 8.33057100936E-03 8.41733483363E-03 8.32540037996E-03 8.33072618964E-03 8.33470099456E-03 8.32887711364E-03 8.33326497961E-03 8.32229795026E-03 8.40612782200E-03 8.33479616181E-03 8.32165484344E-03
../LO/LOjob/088/00/WpJ.WpJ_LO.LO.ptw.s8800.tab.gz 0.00000000000E+00 8.36804879183E-03 8.33800671893E-03 8.33506791561E-03 8.32084948505E-03 8.33666048621E-03 8.40387479497E-03 8.34618593371E-03 8.34001899883E-03 8.35231022802E-03 8.33815563552E-03 8.33665113659E-03 8.32535687447E-03 8.40578738371E-03 8.35076836133E-03 8.33408631833E-03
