#nx=3 [3.00000000000E+01,4.00000000000E+01] [4.00000000000E+01,6.00000000000E+01] [6.00000000000E+01,8.00000000000E+01] [8.00000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.20000000000E+02] [1.20000000000E+02,1.40000000000E+02] [1.40000000000E+02,1.60000000000E+02] [1.60000000000E+02,1.80000000000E+02] [1.80000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.20000000000E+02] [2.20000000000E+02,2.40000000000E+02] [2.40000000000E+02,2.60000000000E+02] [2.60000000000E+02,2.80000000000E+02] [2.80000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,5.50000000000E+02] [5.50000000000E+02,6.00000000000E+02] [6.00000000000E+02,7.00000000000E+02] [7.00000000000E+02,1.00000000000E+03] 
../LO/LOjob/019/00/WpJ.WpJ_LO.LO.ptj1.s1900.tab.gz 8.35018811092E-03 8.33201219162E-03 8.32830010967E-03 8.34215594660E-03 8.39431138071E-03 8.34059631376E-03 8.40680911553E-03 8.34523932540E-03 8.35323263527E-03 8.33107603806E-03 8.33632379851E-03 8.42330466608E-03 8.33946234748E-03 8.32169587145E-03 8.32432926313E-03 8.34236959155E-03 8.33569265454E-03 8.38824118406E-03 8.32645057398E-03 8.32187830353E-03 8.34325212404E-03 8.33517151278E-03
../LO/LOjob/057/00/WpJ.WpJ_LO.LO.ptj1.s5700.tab.gz 8.36146349206E-03 8.33853416986E-03 8.33128625318E-03 8.32825633878E-03 8.40806709998E-03 8.32562149604E-03 8.41443256821E-03 8.30569777230E-03 8.32425117569E-03 8.33101739046E-03 8.33326003740E-03 8.42294287916E-03 8.31361774482E-03 8.33195865913E-03 8.34076672803E-03 8.33580193787E-03 8.34596984841E-03 8.39834251093E-03 8.33904563555E-03 8.33147050084E-03 8.32170742848E-03 8.32284321807E-03
../LO/LOjob/099/00/WpJ.WpJ_LO.LO.ptj1.s9900.tab.gz 8.29204612938E-03 8.33962837983E-03 8.32625465909E-03 8.33998831343E-03 8.40486550921E-03 8.34825364081E-03 8.41251326701E-03 8.34594367276E-03 8.34679150188E-03 8.34144741592E-03 8.32746183457E-03 8.39715363101E-03 8.33432951062E-03 8.32886999803E-03 8.32625200460E-03 8.32372425193E-03 8.32066329650E-03 8.39841756863E-03 8.30767045776E-03 8.33797726011E-03 8.33381234656E-03 8.32398762345E-03
../LO/LOjob/007/00/WpJ.WpJ_LO.LO.ptj1.s700.tab.gz 8.26907797286E-03 8.32140507285E-03 8.34343361427E-03 8.33271939590E-03 0.00000000000E+00 8.32986724759E-03 8.39507191811E-03 8.32251074605E-03 8.34249700080E-03 8.33169235392E-03 8.32446106735E-03 8.41708057683E-03 8.32984714848E-03 8.33141540103E-03 8.33462954625E-03 8.32895130848E-03 8.30936936189E-03 8.40700361368E-03 8.33155122651E-03 8.33051658810E-03 8.34286960886E-03 8.32897274112E-03
../LO/LOjob/003/00/WpJ.WpJ_LO.LO.ptj1.s300.tab.gz 8.29744795117E-03 8.32135831768E-03 8.33146139896E-03 8.33777070716E-03 8.41272696517E-03 8.33144307925E-03 8.38643828306E-03 8.35190768846E-03 8.32914366234E-03 8.32491260692E-03 8.33318003033E-03 8.38879204494E-03 8.33743920256E-03 8.34208817862E-03 8.32265727949E-03 8.32454046944E-03 8.33609355537E-03 8.39996470808E-03 8.32913816400E-03 8.30245617390E-03 8.33142506822E-03 8.33838238382E-03
../LO/LOjob/049/00/WpJ.WpJ_LO.LO.ptj1.s4900.tab.gz 8.33173011407E-03 8.33552860961E-03 8.33598829175E-03 8.33113446984E-03 8.40708829481E-03 8.34522150046E-03 8.39766585279E-03 8.31108036103E-03 8.32039519925E-03 8.35510916806E-03 8.34282749898E-03 8.39666842522E-03 8.33637477923E-03 8.32803711419E-03 8.33241220856E-03 8.31928115458E-03 8.34603362314E-03 8.40347507600E-03 8.33000138798E-03 8.33161465533E-03 8.32879537302E-03 8.34523149467E-03
../LO/LOjob/045/00/WpJ.WpJ_LO.LO.ptj1.s4500.tab.gz 8.35538572300E-03 8.33742022190E-03 8.33663232314E-03 8.33308367274E-03 8.39905077892E-03 8.33703735719E-03 8.39018984472E-03 8.34128057035E-03 8.31584700296E-03 8.33669433266E-03 8.32252974584E-03 8.39559107872E-03 8.33671240163E-03 8.33958248141E-03 8.33508264731E-03 8.33379772936E-03 8.32625029034E-03 8.40091264701E-03 8.33468350457E-03 8.34635050162E-03 8.33119810368E-03 8.32675849153E-03
../LO/LOjob/087/00/WpJ.WpJ_LO.LO.ptj1.s8700.tab.gz 8.37548545399E-03 8.34046188595E-03 8.33552117848E-03 8.33234437987E-03 8.39002628874E-03 8.33337894742E-03 8.40218928617E-03 8.35263115967E-03 8.34260901779E-03 8.34278833734E-03 8.33894761892E-03 8.40391344738E-03 8.34787255162E-03 8.33545307940E-03 8.33815563552E-03 8.33665113659E-03 8.32535687447E-03 8.39718125265E-03 8.35480578086E-03 8.34004379545E-03 8.33610365925E-03 8.32379531916E-03
../LO/LOjob/083/00/WpJ.WpJ_LO.LO.ptj1.s8300.tab.gz 8.34236006375E-03 8.33966639512E-03 8.33251577688E-03 8.33902352749E-03 8.40660711648E-03 8.32180304068E-03 8.40597262555E-03 8.33425884536E-03 8.34928635782E-03 8.33612071172E-03 8.33577255608E-03 8.40065187086E-03 8.31302653838E-03 8.34442870371E-03 8.32308757318E-03 8.34038156998E-03 8.34340177420E-03 8.41629490147E-03 8.33840297397E-03 8.35365569617E-03 8.34243170384E-03 8.34256583732E-03
../LO/LOjob/037/00/WpJ.WpJ_LO.LO.ptj1.s3700.tab.gz 8.23537120088E-03 8.32988438956E-03 8.32642040262E-03 8.32940510965E-03 8.39226693172E-03 8.34660509327E-03 8.39018984472E-03 8.32633265664E-03 8.33219001007E-03 8.33498645888E-03 8.32523877491E-03 8.39559107872E-03 8.33861248511E-03 8.35832089287E-03 8.33072787581E-03 8.33935994593E-03 8.33370069989E-03 8.40091264701E-03 8.33227400846E-03 8.32340054707E-03 8.33078170345E-03 8.32302075188E-03
