 First iteration    4022.7291502854646             1138   3.5349113798642042     
After minimisation    4022.73  1138     3.535

  Partial chi2s 
Dataset    1   1529.85(-19.05)   377  HERA1+2 NCep 920                                
Dataset    2    111.99( -5.41)    70  HERA1+2 NCep 820                                
Dataset    3    317.41(-22.13)   254  HERA1+2 NCep 575                                
Dataset    4    357.25(-18.94)   204  HERA1+2 NCep 460                                
Dataset    5    719.08( -3.95)   159  HERA1+2 NCem                                    
Dataset    6    102.40( +1.10)    39  HERA1+2 CCep                                    
Dataset    7    105.01( -2.00)    42  HERA1+2 CCem                                    
Dataset    8      5.95( -0.77)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    844.92335063400390     
 Log penalty Chi2   -71.138730674061406     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
  143  sysHZComb1143                          1.9154   +/-   0.8559        :N:M:D
  144  sysHZComb1144                          4.2832   +/-   0.8442        :N:M:D
  145  sysHZComb1145                          0.1646   +/-   0.9864        :N:M:D
  146  sysHZComb1146                          0.0956   +/-   0.9899        :N:M:D
  147  sysHZComb1147                          1.1429   +/-   0.8082        :N:M:D
  148  sysHZComb1148                         -0.5722   +/-   0.7987        :N:M:D
  149  sysHZComb1149                          3.5868   +/-   0.7658        :N:M:D
  150  sysHZComb1150                         -1.3197   +/-   0.7891        :N:M:D
  151  sysHZComb1151                         -0.3122   +/-   0.9640        :N:M:D
  152  sysHZComb1152                          0.1070   +/-   0.7359        :N:M:D
  153  sysHZComb1153                         -6.2716   +/-   0.8367        :N:M:D
  154  sysHZComb1154                          2.2995   +/-   0.8147        :N:M:D
  155  sysHZComb1155                          3.1199   +/-   0.8191        :N:M:D
  156  sysHZComb1156                         -2.0546   +/-   0.9168        :N:M:D
  157  sysHZComb1157                          0.3284   +/-   0.7255        :N:M:D
  158  sysHZComb1158                          2.4554   +/-   0.8025        :N:M:D
  159  sysHZComb1159                         -0.0144   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.1521   +/-   0.8843        :N:M:D
  161  sysHZComb1161                          1.3548   +/-   0.8468        :N:M:D
  162  sysHZComb1162                          6.1184   +/-   0.8897        :N:M:D
  163  proc_nrl                              -0.9331   +/-   0.3902        :N:M:D
  164  proc_tb21                             -3.6477   +/-   0.6736        :N:M:D
  165  proc_tb22                             -1.6827   +/-   0.3098        :N:M:D
  166  proc_tb23                             -0.6471   +/-   0.4347        :N:M:D
  167  proc_tb24                              5.4045   +/-   0.4131        :N:M:D
  168  proc_gp                                0.8694   +/-   0.4574        :N:M:D
  169  proc_had                              -1.7528   +/-   0.5415        :N:M:D
  170  ereco_1                                0.0256   +/-   0.9685        :N:M:D
  171  etrig1_2                              -0.0385   +/-   0.8580        :N:M:D
  172  etrig2_3                              -0.0476   +/-   0.9953        :N:M:D
  173  eiso_4                                -1.8636   +/-   0.4680        :N:M:D
  174  eqcd_5                                 0.2221   +/-   0.9703        :N:M:D
