 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   47  sysHZComb1047                         -3.2938   +/-   0.9483        :N:M:D
   48  sysHZComb1048                         -0.8612   +/-   0.9625        :N:M:D
   49  sysHZComb1049                         -1.4100   +/-   0.9467        :N:M:D
   50  sysHZComb1050                          0.2763   +/-   0.9453        :N:M:D
   51  sysHZComb1051                          5.0424   +/-   0.9541        :N:M:D
   52  sysHZComb1052                         -6.7008   +/-   0.9521        :N:M:D
   53  sysHZComb1053                         -4.8997   +/-   0.9242        :N:M:D
   54  sysHZComb1054                         -1.3062   +/-   0.9761        :N:M:D
   55  sysHZComb1055                          4.0932   +/-   0.9104        :N:M:D
   56  sysHZComb1056                        -14.2715   +/-   0.8931        :N:M:D
   57  sysHZComb1057                          1.7468   +/-   0.9211        :N:M:D
   58  sysHZComb1058                          2.2247   +/-   0.9451        :N:M:D
   59  sysHZComb1059                         -4.3525   +/-   0.8735        :N:M:D
   60  sysHZComb1060                          3.1546   +/-   0.9795        :N:M:D
   61  sysHZComb1061                          0.2985   +/-   0.9838        :N:M:D
   62  sysHZComb1062                          4.6002   +/-   0.8959        :N:M:D
   63  sysHZComb1063                          1.9270   +/-   0.8422        :N:M:D
   64  sysHZComb1064                         -0.0267   +/-   0.9308        :N:M:D
   65  sysHZComb1065                         -0.6869   +/-   0.9486        :N:M:D
   66  sysHZComb1066                         -4.5471   +/-   0.9347        :N:M:D
   67  sysHZComb1067                         -2.1672   +/-   0.9649        :N:M:D
