 First iteration    4258.4314728655290             1178   3.6149672944529110     
After minimisation    4258.43  1178     3.615

  Partial chi2s 
Dataset    1    556.48(+17.51)   377  HERA1+2 NCep 920                                
Dataset    2     69.27( +2.59)    70  HERA1+2 NCep 820                                
Dataset    3    243.57( +8.53)   254  HERA1+2 NCep 575                                
Dataset    4    225.54( +4.56)   204  HERA1+2 NCep 460                                
Dataset    5    244.16( -0.09)   159  HERA1+2 NCem                                    
Dataset    6     46.12( +0.18)    39  HERA1+2 CCep                                    
Dataset    7     61.22( -2.26)    42  HERA1+2 CCem                                    
Dataset    8      6.17( +0.35)     6  ATLAS DY mass 2010 extended data                
Dataset    9   2336.79( +0.00)    41  ATLAS 8 TeV $W^+$ +jets jet 1 rap               

 Correlated Chi2    437.74682476575651     
 Log penalty Chi2    31.368350012596036     
 Systematic shifts          227
  
                                Name          Shift   +/-    Error          Type
   46  sysHZComb1046                         -1.1078   +/-   0.9567        :N:M:D
   47  sysHZComb1047                          0.2594   +/-   0.9466        :N:M:D
   48  sysHZComb1048                          0.4006   +/-   0.9607        :N:M:D
   49  sysHZComb1049                         -0.7728   +/-   0.9456        :N:M:D
   50  sysHZComb1050                          1.0046   +/-   0.9425        :N:M:D
   51  sysHZComb1051                         -0.1613   +/-   0.9520        :N:M:D
   52  sysHZComb1052                          2.3697   +/-   0.9505        :N:M:D
   53  sysHZComb1053                         -3.2302   +/-   0.9183        :N:M:D
   54  sysHZComb1054                          0.1382   +/-   0.9747        :N:M:D
   55  sysHZComb1055                         -2.4542   +/-   0.9048        :N:M:D
   56  sysHZComb1056                         -0.5683   +/-   0.8901        :N:M:D
   57  sysHZComb1057                          0.2703   +/-   0.9192        :N:M:D
   58  sysHZComb1058                         -0.1364   +/-   0.9430        :N:M:D
   59  sysHZComb1059                         -0.0855   +/-   0.8695        :N:M:D
   60  sysHZComb1060                         -0.2500   +/-   0.9789        :N:M:D
   61  sysHZComb1061                         -0.0775   +/-   0.9829        :N:M:D
   62  sysHZComb1062                         -1.9124   +/-   0.8948        :N:M:D
   63  sysHZComb1063                          1.0862   +/-   0.8353        :N:M:D
   64  sysHZComb1064                          1.6087   +/-   0.9292        :N:M:D
   65  sysHZComb1065                         -1.1247   +/-   0.9466        :N:M:D
   66  sysHZComb1066                          0.0732   +/-   0.9317        :N:M:D
   67  sysHZComb1067                         -0.3004   +/-   0.9637        :N:M:D
   68  sysHZComb1068                         -0.7346   +/-   0.9196        :N:M:D
   69  sysHZComb1069                         -0.5294   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          1.1058   +/-   0.9071        :N:M:D
   71  sysHZComb1071                         -2.5133   +/-   0.8566        :N:M:D
   72  sysHZComb1072                          0.2930   +/-   0.9702        :N:M:D
   73  sysHZComb1073                         -0.8565   +/-   0.9030        :N:M:D
   74  sysHZComb1074                         -0.0989   +/-   0.9348        :N:M:D
